sample,Pseudomonadota,Actinomycetota,Cyanobacteriota,Nitrososphaerota,Bacillota,Bacteroidota,Planctomycetota,Myxococcota,Acidobacteriota,Thermodesulfobacteriota,Uroviricota,Euryarchaeota,Verrucomicrobiota,Other,Campylobacterota,Nucleocytoviricota,Deinococcota,Gemmatimonadota,Chloroflexota,Mycoplasmatota,Spirochaetota,Fusobacteriota,Nitrospirota,Bdellovibrionota,Rhodothermota,Thermotogota,Chlorobiota,Synergistota,ecosystem
ERR315859,40.95807940389215,0.901923779008931,42.46731772519216,1.9061083449492497,5.043054790947864,4.547010892655407,0.10314432013047495,0.025916973839890913,0.01933956002446405,0.16037763736023403,0.8941355974762364,0.09771222712867964,0.5039520658151515,0.24561132152896623,1.0299379225211194,0.026353286530798166,0.009347999402687926,0.0016470804081748854,0.01643808062993081,0.4034910687337562,0.18885794825920507,0.24875277290349845,0.023037310079903034,0.06046203114247278,0.0019961305609006888,0.09288006407688179,0.014463765703575486,0.008649899097236319,Marine
ERR594308,81.62529061510993,2.0901789741462165,0.4706016739674571,4.48181938550677,2.365544408600277,7.286824989618666,0.07586440543268427,0.040520197230545264,0.028716875607691403,0.140428058050173,0.0625439835773665,0.12662855191091926,0.022845744677103534,0.15997657559665837,0.2936927567669833,0.01696052303228225,0.020365778972023216,0.003334802368573912,0.02042214182895686,0.1495823253971456,0.08651698539314291,0.07000266831158533,0.011188027101328251,0.29485758914361193,0.004260092603234561,0.03419816344448825,0.009727289725797988,0.007106416878383562,Marine
ERR594312,97.17000288250155,0.4783533822332016,0.2633769007467859,0.03723375357414621,0.5154175768923727,0.7930581888131949,0.018516525592495944,0.009734065873984506,0.007882759353336901,0.03669739374106139,0.4615843515807562,0.020433579447521687,0.005927641252092236,0.020253639374486782,0.04673597358479727,0.005363598330848199,0.004373927929156209,0.0008408738028362016,0.0034880691080612803,0.0227970230991148,0.01772063680791847,0.011485021200054952,0.0018651480647272128,0.0383964432768333,0.0006574733437813921,0.004003666625026689,0.0029413281169167545,0.0008581757329357119,Marine
ERR599168,42.120679542546554,0.399301170768566,34.781852426246864,0.05952989749252223,6.1285806822838715,7.5671850832938485,0.09157696479623395,0.017032397038533712,0.015028585622235628,0.1329960250782565,5.644256679893213,0.1204861190834511,0.28744953073937163,0.22080192811187388,0.8562327927912884,0.4650234021517316,0.006860271029409411,0.0009532019584473523,0.010060803152663295,0.4351958342987112,0.18988896240835867,0.270340599237021,0.016364459899767682,0.050839757010035055,0.004689475328419821,0.09044286319603746,0.009344162264195578,0.007006382278514479,Marine
SRR3719657,42.76655083845107,1.8378765574314497,0.44991440796773374,44.62724414122174,3.883290768778717,3.9268074829802693,0.24197328008256597,0.04962729823012343,0.03824816280467035,0.25983138881295326,0.05362695323064239,0.14652537281140954,0.06907591304258842,0.2077189248295834,0.5383453766414885,0.04386756113142287,0.021688187714802378,0.004753975899739642,0.022676406567269783,0.3944922879459228,0.13555555880413822,0.1362046256243979,0.01834929443220541,0.04156951374077383,0.0052743988457136,0.04966238292311043,0.0198345464353221,0.009414392618180596,Marine
SRR3727512,13.866616310715438,4.1366875778403065,70.62938788689516,0.0046992481203007525,2.2577321370911942,2.536642603441118,0.5113704506665436,0.11851907375801467,0.0501291572489506,0.11579754601226994,2.4583986807509572,0.12822893122376494,0.22507957009087134,0.04680797084736381,0.058385995664006644,2.6633435582822087,0.04311199778587573,0.009686793671294802,0.01772452603902394,0.03057682549933115,0.032485354490520785,0.010522856220305365,0.008660454818026662,0.010326813967433922,0.008256838415056046,0.0052181834955486875,0.009779048849116657,0.005823608100004613,Marine
SRR3943823,55.56327270520492,19.30060161500437,0.9234579962225473,3.4837377049424467,6.005911531059739,3.0882518837932533,2.662143602027896,1.2066180256647865,0.6683701069682573,3.0500156928475985,0.018429322802433565,0.8672392539363358,0.35883194579768624,0.58299952679456,0.29967195805411667,0.01288191048412528,0.3236114622197021,0.15432230912340833,0.4357883301060301,0.09155091872966492,0.24559399568940002,0.07321467331512244,0.14620596089930626,0.04880978221008162,0.13732637809449738,0.06489355483766,0.10260851241112505,0.08363934075892324,Marine
SRR3952299,48.68902215799365,5.214250366478498,0.6909372450683132,21.876141431880697,7.01207470708982,12.138276764354455,0.6800636216020576,0.16093378150248136,0.09906732974652617,0.36260989811300576,0.24638571453051544,0.3031424979527574,0.21769056492472327,0.3075978794876415,0.7535722241752741,0.17513076648659934,0.049694640196784545,0.01197448696904756,0.03659851871545846,0.3389205617934936,0.208520164236372,0.2059653300695154,0.027054239856347702,0.06335157893424989,0.015630184638696077,0.074401755981142,0.02566258222074286,0.015329005001139808,Marine
SRR3979410,58.489954324257475,33.177019209658184,0.2296727660295871,0.008710976907834216,1.3719137260678285,0.8470925659845644,1.296554656646814,1.3556642367412504,0.9611169087791362,0.5091101359294534,0.0016935598175749473,0.48515712066344463,0.29111859018006275,0.19728669136426924,0.021078306037202038,0.0,0.18753352379946583,0.21285875676381738,0.11253053618624921,0.0035608180779780944,0.06293094583665677,0.0027531203188269657,0.06952280174198695,0.010143989061166864,0.04072359992107143,0.0063313082410878805,0.023779316823180543,0.024187508163826813,Terrestrial
SRR3989440,45.42663472534677,42.77264153101563,0.36719117683967056,0.02997275022804388,2.8224524883601565,0.7639775294324855,2.117443207801666,1.4430008020126053,0.8661891608140772,0.7830616981123275,0.011160657272761798,0.7902245080038015,0.3685737657256992,0.23447930147833732,0.042438260465531556,0.0025930482320297315,0.26315830387327,0.2737192840388386,0.2821980520266532,0.0213163001343943,0.05822420505581106,0.011393865036670255,0.09184499101928006,0.011343891944404157,0.06434313257550435,0.01190470109094592,0.03201054187933919,0.03650812018328797,Terrestrial
SRR4030043,40.62515167998006,19.18963512568575,1.4432262030355725,0.2090561129028268,13.479672612365313,5.58069594141168,2.210402013402012,2.046031801205048,0.880565891975358,6.090653820174792,0.0027243681579607448,2.4282888368858155,0.4299178211568168,1.029310130484709,0.5193522517215972,0.018945318799612074,0.4308259438761371,0.12713718070483476,1.2775094640478912,0.2260912425342135,0.5131519655689968,0.1654975369519832,0.3992295361590981,0.07127197617837534,0.1001127011609253,0.16978763393635812,0.15691734298323323,0.17883754655303233,Terrestrial
SRR4289282,43.90529214776053,45.00468497688514,0.22961842120669892,0.01554784291476083,3.858752404360475,0.5288129404889514,1.6828926625358325,1.7335678527291287,0.7005377677528823,0.49489642222645647,0.0060142276401128755,0.6620440496934873,0.22521419698351888,0.1361051648909615,0.015221850487365332,0.00046570346770785545,0.21979207803806317,0.2646725865117373,0.11760343140959659,0.002022483631188401,0.037449211710393115,0.0023551289652654402,0.04437488756587708,0.008249604285110582,0.05344279937281718,0.0042179428360968624,0.020703845592954944,0.025447368056893533,Terrestrial
SRR4289291,47.51782805294923,37.778436350216396,0.27194816910649117,0.0279955415888495,7.201661093652728,0.9270736644337333,1.5587962289893649,1.4106025192259661,0.8811475562613463,0.5319674789474274,0.00524869807684422,0.5998501437054765,0.2598403769519528,0.1458675822066153,0.023477486142020526,0.0006411761855235837,0.21325818151996032,0.2597210883592972,0.12561088806629464,0.004331667020804676,0.051540127564238765,0.004279478261517873,0.07383218331674476,0.011995959098923793,0.05593889441841219,0.006389395244112922,0.024886582642764218,0.025833435846967644,Terrestrial
SRR4465034,33.20815035293377,20.311815270520817,17.806105911617458,2.5555146016969714,8.10578937327631,5.833714574655077,0.49360718499434153,0.6124618681503899,0.12207748428884448,0.32761440480975285,7.5430401386915795,0.8996245621898747,0.17219759845750068,0.27647558913360365,0.5591189528489378,0.08538570817350524,0.12083652063426208,0.03491367893862416,0.05634345428715899,0.30170234282824876,0.1884968225773889,0.17186420523686663,0.02531936292259906,0.04608235182986574,0.02161499380444265,0.07140171475246479,0.025523103224097662,0.023207872525249907,Marine
SRR5207236,49.59076429429838,35.647549569109486,0.3380800130359185,0.02979736325856492,5.519349017841153,0.6942546008390601,2.0859572504423145,1.5030331886778039,1.1893172760446709,0.87620777618752,0.01117462252516344,0.7838765406185548,0.34291175354132836,0.23384548152548806,0.035431133564467886,0.001530703216794817,0.2687435586981648,0.3029129624545398,0.20931999707748164,0.010641566133372275,0.05727666477668018,0.006264635209949396,0.09950548994288864,0.010529086344278725,0.06455361808847151,0.012343434246613796,0.03459976121029818,0.040228641090588386,Terrestrial
SRR5207629,54.94326185724196,36.26393988968833,0.18946649020587356,0.02633495825628957,1.7244544196878475,1.343153897329176,1.3675711466084568,1.2457847888586633,0.8352293398424953,0.5046178905674761,0.0024701354312911704,0.505470205668369,0.2944196247130342,0.11155857653907984,0.01857731247686714,0.0003077804531001778,0.16164787232951133,0.1694134099154235,0.08280083369043759,0.002651646980555378,0.0528593198683331,0.0031172635634505188,0.05875449931617496,0.010267240243162341,0.03687051992010335,0.004616706796502668,0.020526588679834933,0.019855785128206342,Terrestrial
SRR5208282,58.70154927562208,23.545136657663,0.5613964243117462,0.01859359469394411,2.6819206440626653,1.123154335971731,3.20928467766206,1.4953219922264445,4.198241764973151,1.558674293129565,0.0032731036258692708,0.7214301596255832,0.7432639954591931,0.324648501204443,0.06761785161233545,0.004640183051935151,0.27448720226341033,0.1005329177937678,0.17421061186202988,0.023529540121710817,0.11641864362454293,0.011922509994632242,0.11559708146945528,0.025783906675271383,0.06193921399636948,0.022063873237034418,0.06995108813278442,0.0454159559332463,Terrestrial
SRR5210996,48.312717129280536,11.224578041334873,1.025586592671991,13.133339299351377,9.667938926702654,3.758731822539589,3.24467442596807,0.7109861546913568,0.4042311642042128,3.421718686732285,0.04861769635991301,0.8331022504595907,0.3015581339633234,1.2000324251742953,0.5786669641649654,0.06964590345243833,0.21762589134115418,0.07141163076555114,0.28228562164235915,0.3209109066167019,0.3964358794184818,0.22378587185394547,0.11095990956265743,0.06410794051585723,0.07972860771197456,0.13077417912741768,0.0887879927332295,0.07705995165920178,Marine
SRR5262247,54.51726543535075,34.49601290489258,0.32726778624099756,0.008292133540486963,1.8453918629702477,0.6102661707832272,1.5272072141159598,2.4802394837882087,1.0606557167155135,0.8045112424103014,0.008352464342317506,0.7618774757833837,0.3065273972561417,0.17693013150170805,0.023616157205445083,0.0006904525098384456,0.25904035279307813,0.25933530337980526,0.1425013539237444,0.0017965172100650817,0.07975061659755325,0.0027215895048000862,0.13510077556586436,0.01119471545077868,0.06854919772434896,0.008050810333164786,0.042955530903347174,0.03389920720633999,Terrestrial
SRR9040676,49.500335236443014,43.240833892631585,0.16835689936419587,0.0016737275668844253,0.7728534084320203,0.28243296418544966,1.9250447254028438,1.7762313925392805,0.6296549406257134,0.44912983634483655,0.01244906233922768,0.4939985221419429,0.14779950606997966,0.09565592801080812,0.011837112833190807,0.0005388809083011248,0.1649386590263705,0.08330505159978785,0.07384723498036727,0.0012353159804699512,0.05546591586246874,0.000977292494715599,0.0338650116568389,0.005845487818859658,0.03381706038957482,0.0028999099726374085,0.016661923677429268,0.018315100701200515,Terrestrial
